gid,last_first,first_last,date,team,opp,h_a,gameid,gtime_et,team_pts,opp_pts,start,minutes,gp,active,fdp,dkp,ddp,yhp,stats,doubled,tripled,fd_sal,fd_change,dk_sal,dk_change,dd_sal,dd_change,yh_sal,yh_change,fd_pos,dk_pos,dd_pos,yh_pos,x35,nn,site,o_team,line,total,EP,P1,P2,Away,Home,AvgPointsPerGame,teamAbbrev,Opp.x,ID,Salary,Value.x,Team,Opp.y,Pos,ML,OU,Mins,Value.y,EPRWire,EP_Avg
4379,"Irving, Kyrie",Kyrie Irving,2016-12-10,cle,cha,H,20161210-cha-cle,19.5,116,105,1,36.15,1,1,20.3,23.0,21.75,21.3,11pt 4rb 5as 3to 2trey 4-13fg 1-1ft,0,0,7300,0, 7200,100,14450,50,37,0,1,1,12,1,NA,Cavaliers,home,Hornets,-8.0,214.0,36.45,PG,NA,Cha,Cle,36.833,Cle,Cha,Kyrie Irving (7930499),7200,5.0625,CLE,CHA,PG,-350,212.5,34,4.06,29.231999999999996,32.841
4379,"Irving, Kyrie",Kyrie Irving,2016-12-07,cle,nyk,A,20161207-cle-nyk,20.0,126,94,1,30.45,1,1,37.4,40.5,40.5,39.4,28pt 2rb 6as 2to 4trey 9-17fg 6-6ft,0,0,7300,-100, 7200,-100,16650,1300,37,0,1,1,12,1,NA,Cavaliers,away,Knicks,-8.5,216.5,36.16,PG,NA,Cle,NY,37.066,Cle,NY,Kyrie Irving (7907985),7200,5.022222222222221,CLE,@NY,PG,NA,0.0,35,4.31,31.031999999999996,33.596
4379,"Irving, Kyrie",Kyrie Irving,2016-12-02,cle,chi,A,20161202-cle-chi,20.0,105,111,1,38.0333333333333,1,1,39.2,40.5,37.25,39.2,20pt 6rb 8as 1st 2to 9-21fg 2-3ft,0,0,7400,0, 7400,0,15900,-50,37,0,1,1,12,1,NA,Cavaliers,away,Bulls,-1.5,209.0,35.17,PG,NA,Cle,Chi,36.985,Cle,Chi,Kyrie Irving (7880391),7400,4.7527027027027025,CLE,@CHI,PG,-135,211.0,35,4.08,30.192,32.681
4379,"Irving, Kyrie",Kyrie Irving,2016-12-01,cle,lac,H,20161201-lac-cle,20.0,94,113,1,33.9166666666667,1,1,29.4,32.0,29.5,29.9,28pt 2rb 2as 4to 1trey 8-19fg 11-12ft,0,0,7400,-200, 7400,-200,15950,100,37,0,1,1,12,1,NA,Cavaliers,home,Clippers,-4.0,214.5,35.1,PG,NA,LAC,Cle,37.297,Cle,LAC,Kyrie Irving (7874740),7400,4.743243243243244,CLE,LAC,PG,-173,214.5,36,3.98,29.452,32.276
4379,"Irving, Kyrie",Kyrie Irving,2016-11-29,cle,mil,A,20161129-cle-mil,20.0,101,118,1,31.3333333333333,1,1,25.9,28.5,27.75,26.9,20pt 2rb 3as 1st 3to 2trey 5-12fg 8-8ft,0,0,7600,200, 7600,0,15850,-1200,37,0,1,1,12,1,NA,Cavaliers,away,Bucks,-6.5,212.5,35.52,PG,NA,Cle,Mil,37.883,Cle,Mil,Kyrie Irving (7861569),7600,4.673684210526316,CLE,@MIL,PG,-300,210.5,35,4.08,31.008,33.264
4379,"Irving, Kyrie",Kyrie Irving,2016-11-25,cle,dal,H,20161125-dal-cle,19.5,128,90,1,28.4833333333333,1,1,27.7,30.75,32.0,29.7,25pt 1rb 1as 1bl 2to 4trey 10-13fg 1-1ft,0,0,7600,0, 7600,0,16250,-700,37,0,1,1,12,1,NA,Cavaliers,home,Mavericks,-14.5,202.5,31.89,PG,NA,Dal,Cle,37.577,Cle,Dal,Kyrie Irving (7828528),7600,4.196052631578947,CLE,DAL,PG,-1777,201.0,33,3.37,25.612,28.750999999999998
4379,"Irving, Kyrie",Kyrie Irving,2016-11-23,cle,por,H,20161123-por-cle,19.0,137,125,1,33.45,1,1,30.4,33.5,33.0,31.9,20pt 2rb 6as 1st 3to 3trey 8-15fg 1-2ft,0,0,7600,200, 7600,0,16950,700,37,2,1,1,12,1,NA,Cavaliers,home,Trailblazers,-11.5,218.5,34.14,PG,NA,Por,Cle,37.917,Cle,Por,Kyrie Irving (7817258),7600,4.492105263157894,CLE,POR,PG,-777,216.0,34,4.25,32.3,33.22
4379,"Irving, Kyrie",Kyrie Irving,2016-11-18,cle,det,H,20161118-det-cle,19.5,104,81,1,28.5166666666667,1,1,45.9,49.0,50.0,47.4,25pt 2rb 11as 1st 3trey 11-15fg,1,0,7400,0, 7600,0,16250,250,35,0,1,1,12,1,NA,Cavaliers,home,Pistons,-9.0,203.0,36.97,PG,NA,Det,Cle,37.273,Cle,Det,Kyrie Irving (7789823),7600,4.864473684210526,CLE,DET,PG,-411,204.0,36,3.97,30.172,33.571
4379,"Irving, Kyrie",Kyrie Irving,2016-11-16,cle,ind,A,20161116-cle-ind,19.0,93,103,1,31.65,1,1,36.9,38.5,36.25,37.4,24pt 2rb 7as 1st 2to 1trey 10-20fg 3-4ft,0,0,7400,0, 7600,200,16000,700,35,0,1,1,12,1,NA,Cavaliers,away,Pacers,-1.0,209.0,38.09,PG,NA,Cle,Ind,37.15,Cle,Ind,Kyrie Irving (7776174),7600,5.011842105263158,CLE,@IND,PG,-101,209.5,37,4.36,33.136,35.613
4379,"Irving, Kyrie",Kyrie Irving,2016-11-15,cle,tor,H,20161115-tor-cle,19.0,121,117,1,35.3166666666667,1,1,35.0,38.75,36.75,36.0,24pt 5rb 4as 2st 5to 2trey 10-20fg 2-4ft,0,0,7400,-100, 7400,0,15300,-350,35,0,1,1,12,1,NA,Cavaliers,home,Raptors,-6.0,209.5,32.28,PG,NA,Tor,Cle,36.972,Cle,Tor,Kyrie Irving (7771658),7400,4.3621621621621625,CLE,TOR,PG,-237,209.0,36,3.86,28.564,30.422
