Name,EP,P1,Away,Home,AvgPointsPerGame,teamAbbrev,Opp.x,ID,Salary,Value.x,Team,Opp.y,Pos,Lineup (?),ML,OU,Value.y,EPRWire,EP_Avg,date,P2,Mins,Lineup,dkp.x,gid,last_first,team,opp,h_a,gameid,gtime_et,team_pts,opp_pts,start,minutes,gp,active,fdp,dkp.y,ddp,yhp,stats,doubled,tripled,fd_sal,fd_change,dk_sal,dk_change,dd_sal,dd_change,yh_sal,yh_change,fd_pos,dk_pos,dd_pos,yh_pos,x35,nn,site,o_team,line,total
Evan Turner,26.91,SG,Por,Min,20.828,Por,Min,Evan Turner (8042224),4900,5.4918367346938775,POR,@MIN,SG,-,NA,0.0,4.55,22.295,24.080730000000003,2017-01-01,NA,NA,NA,NA,4318,"Turner, Evan",por,min,A,20170101-por-min,19.0,95,89,0,29.7333333333333,1,1,24.1,26.75,26.25,24.6,11pt 3rb 1as 2st 4bl 4to 1trey 5-7fg 0-2ft,0,0,4800,300, 4900,200, 9300,1450,13,0,3,23,23,3,NA,Trailblazers,away,Timberwolves,5.5,208.5
Meyers Leonard,21.03,PF,Por,Min,11.977,Por,Min,Meyers Leonard (8042304),3100,6.783870967741936,POR,@MIN,PF,-,NA,0.0,3.02,9.362,15.11365,2017-01-01,NA,NA,NA,NA,4521,"Leonard, Meyers",por,min,A,20170101-por-min,19.0,95,89,0,10.4333333333333,1,1,2.4,2.5,1.0,2.4,0pt 2rb 0-6fg,0,0,3500,-200, 3100,0, 6100,550,10,0,4,45,45,4,NA,Trailblazers,away,Timberwolves,5.5,208.5
Al-Farouq Aminu,25.53,PF,Por,Min,18.722,Por,Min,Al-Farouq Aminu (8042313),4400,5.802272727272728,POR,@MIN,PF,E,NA,0.0,4.37,19.228,21.95524,2017-01-01,NA,NA,NA,NA,4261,"Aminu, Al-Farouq",por,min,A,20170101-por-min,19.0,95,89,1,35.65,1,1,17.7,18.0,16.5,17.7,2pt 6rb 3as 2st 1-7fg,0,0,4200,100, 4400,100, 8200,1250,13,0,4,4,34,4,NA,Trailblazers,away,Timberwolves,5.5,208.5
Mason Plumlee,32.14,C,Por,Min,29.8,Por,Min,Mason Plumlee (8042340),5700,5.63859649122807,POR,@MIN,C,E,NA,0.0,4.72,26.904,30.507960000000004,2017-01-01,NA,NA,NA,NA,4607,"Plumlee, Mason",por,min,A,20170101-por-min,19.0,95,89,1,29.0,1,1,32.1,33.5,31.75,32.1,18pt 8rb 3as 1st 2to 6-9fg 6-10ft,0,0,6300,300, 5700,100,11250,900,23,0,5,5,45,5,NA,Trailblazers,away,Timberwolves,5.5,208.5
Allen Crabbe,21.33,SG,Por,Min,17.307,Por,Min,Allen Crabbe (8042225),4200,5.078571428571428,POR,@MIN,SG,E,NA,0.0,3.66,15.372,19.12285,2017-01-01,NA,NA,NA,NA,4561,"Crabbe, Allen",por,min,A,20170101-por-min,19.0,95,89,1,40.0666666666667,1,1,21.1,23.0,21.75,21.6,10pt 8rb 1as 1bl 2to 1trey 4-10fg 1-2ft,0,0,3700,0, 4200,100, 7950,900,10,0,2,23,12,2,NA,Trailblazers,away,Timberwolves,5.5,208.5
Noah Vonleh,10.53,PF,Por,Min,9.223,Por,Min,Noah Vonleh (8042316),3000,3.51,POR,@MIN,PF,-,NA,0.0,2.64,7.92,10.73133,2017-01-01,NA,NA,NA,NA,4761,"Vonleh, Noah",por,min,A,20170101-por-min,19.0,95,89,0,6.5,1,1,1.2,1.25,1.25,1.2,0pt 1rb,0,0,3500,0, 3000,0, 5000,0,10,0,4,4,4,4,NA,Trailblazers,away,Timberwolves,5.5,208.5
Shabazz Napier,9.8,PG,Por,Min,7.625,Por,Min,Shabazz Napier (8042197),3000,3.266666666666667,POR,@MIN,PG,-,NA,0.0,3.38,10.14,10.52285,2017-01-01,NA,NA,NA,NA,4694,"Napier, Shabazz",por,min,A,20170101-por-min,19.0,95,89,0,8.76666666666667,1,1,3.7,5.25,5.5,4.2,3pt 1rb 1as 2to 1trey 1-2fg,0,0,3500,0, 3000,0, 5000,0,10,0,1,1,1,1,NA,Trailblazers,away,Timberwolves,5.5,208.5
Gorgui Dieng,30.56,PF,Por,Min,27.22,Min,Por,Gorgui Dieng (8042305),5500,5.556363636363637,MIN,POR,PF,E,NA,0.0,6.06,33.33,30.887100000000004,2017-01-01,NA,NA,NA,NA,4632,"Dieng, Gorgui",min,por,H,20170101-por-min,19.0,89,95,1,37.6166666666667,1,1,28.8,29.75,27.75,28.8,12pt 9rb 2as 2st 1to 5-13fg 2-2ft,0,0,5600,0, 5500,0,12100,600,19,0,4,45,45,4,NA,Timberwolves,home,Trailblazers,-5.5,208.5
Karl-Anthony Towns,49.38,PF,Por,Min,44.697,Min,Por,Karl-Anthony Towns (8042306),9400,5.253191489361702,MIN,POR,PF,E,NA,0.0,4.84,45.496,46.66221,2017-01-01,NA,NA,NA,NA,4879,"Towns, Karl-Anthony",min,por,H,20170101-por-min,19.0,89,95,1,33.6166666666667,1,1,36.6,40.25,37.75,36.6,11pt 13rb 6as 1st 1bl 3to 3-15fg 5-5ft,1,0,9100,0, 9400,500,19150,900,43,0,5,45,5,5,NA,Timberwolves,home,Trailblazers,-5.5,208.5
Andrew Wiggins,34.76,SF,Por,Min,32.75,Min,Por,Andrew Wiggins (8042280),6800,5.1117647058823525,MIN,POR,SF,E,NA,0.0,4.82,32.776,34.12774,2017-01-01,NA,NA,NA,NA,4704,"Wiggins, Andrew",min,por,H,20170101-por-min,19.0,89,95,1,37.5666666666667,1,1,28.5,31.75,28.75,29.0,24pt 5rb 1as 1st 5to 1trey 10-20fg 3-7ft,0,0,6900,500, 6800,300,12100,-1950,29,0,3,3,23,3,NA,Timberwolves,home,Trailblazers,-5.5,208.5
